"464/0175","DETECTIVE COMICS #27 (GOTHTOPIA) ",,"4.99",,,,"DC COMICS"
"464/0176","DETECTIVE COMICS #27 BURNHAM VAR 1-25 ED ",,"12.99",,,,"DC COMICS"
"464/0177","DETECTIVE COMICS #27 JONES VAR 1-50 ED ",,"24.99",,,,"DC COMICS"
"464/0178","DETECTIVE COMICS #27 FABOK VAR 1-100 ED ",,"39.99",,,,"DC COMICS"
"464/0179","DETECTIVE COMICS #27 COMBO PACK ",,"5.50",,,,"DC COMICS"
"464/0180","BATGIRL #27 (GOTHTOPIA)",,"1.99",,,,"DC COMICS"
"464/0181","BATGIRL #27 VAR 1-25 ED (GOTHTOPIA)",,"9.99",,,,"DC COMICS"
"464/0182","BATWING #27 (GOTHTOPIA)",,"1.99",,,,"DC COMICS"
"464/0183","BIRDS OF PREY #27 (GOTHTOPIA)",,"1.99",,,,"DC COMICS"
"464/0184","CATWOMAN #27 (GOTHTOPIA)",,"1.99",,,,"DC COMICS"
"464/0185","BATMAN THE DARK KNIGHT #27",,"1.99",,,,"DC COMICS"
"464/0186","BATMAN THE DARK KNIGHT #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0187","NIGHTWING #27",,"1.99",,,,"DC COMICS"
"464/0188","NIGHTWING #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0189","BATMAN AND TWO FACE #27",,"1.99",,,,"DC COMICS"
"464/0190","BATMAN AND TWO FACE #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0191","BATMAN AND ROBIN ANNUAL #2",,"3.33",,,,"DC COMICS"
"464/0192","BATWOMAN #27",,"1.99",,,,"DC COMICS"
"464/0193","BATWOMAN #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0194","RED HOOD AND THE OUTLAWS #27",,"1.99",,,,"DC COMICS"
"464/0195","TALON #15",,"1.99",,,,"DC COMICS"
"464/0196","GREEN LANTERN #27",,"1.99",,,,"DC COMICS"
"464/0197","GREEN LANTERN #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0198","GREEN LANTERN #27 COMBO PACK",,"2.65",,,,"DC COMICS"
"464/0199","GREEN LANTERN CORPS #27",,"1.99",,,,"DC COMICS"
"464/0200","GREEN LANTERN CORPS #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0201","GREEN LANTERN CORPS ANNUAL #2",,"3.33",,,,"DC COMICS"
"464/0202","GREEN LANTERN NEW GUARDIANS #27",,"1.99",,,,"DC COMICS"
"464/0203","LARFLEEZE #7",,"1.99",,,,"DC COMICS"
"464/0204","RED LANTERNS #27",,"1.99",,,,"DC COMICS"
"464/0205","ALL STAR WESTERN #27",,"2.65",,,,"DC COMICS"
"464/0206","ANIMAL MAN #27",,"1.99",,,,"DC COMICS"
"464/0207","GREEN TEAM TEEN TRILLIONAIRES #8",,"1.99",,,,"DC COMICS"
"464/0208","MOVEMENT #8",,"1.99",,,,"DC COMICS"
"464/0209","SWAMP THING #27",,"1.99",,,,"DC COMICS"
"464/0210","STORMWATCH #27",,"1.99",,,,"DC COMICS"
"464/0211","TEEN TITANS #27",,"1.99",,,,"DC COMICS"
"464/0212","TEEN TITANS #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0213","INJUSTICE YEAR TWO #1",,"1.99",,,,"DC COMICS"
"464/0214","SCRIBBLENAUTS UNM'AD CRISIS OF IMAGINATION #1",,"1.99",,,,"DC COMICS"
"464/0215","SCRIBBLENAUTS UNM'D C.OF IMAG'N #1 VAR 1-10 ED",,"3.99",,,,"DC COMICS"
"464/0216","VAMPIRE DIARIES #1",,"2.65",,,,"DC COMICS"
"464/0217","VAMPIRE DIARIES #1 VAR 1-25 ED",,"12.99",,,,"DC COMICS"
"464/0218","ADVENTURES OF SUPERMAN #9",,"2.65",,,,"DC COMICS"
"464/0219","BATMAN BLACK & WHITE #5 (OF 6)",,"3.33",,,,"DC COMICS"
"464/0220","BATMAN BEYOND UNIVERSE #6",,"2.65",,,,"DC COMICS"
"464/0221","BATMAN 66 #7",,"2.65",,,,"DC COMICS"
"464/0222","DC UNIVERSE VS MASTERS OF THE UNIVERSE #6 (OF 6)",,"1.99",,,,"DC COMICS"
"464/0223","HE MAN AND THE MASTERS OF THE UNIVERSE #10",,"1.99",,,,"DC COMICS"
"464/0224","SMALLVILLE SEASON 11 ALIEN #2 (OF 4)",,"2.65",,,,"DC COMICS"
"464/0225","SMALLVILLE SEASON 11 SPECIAL #4",,"3.33",,,,"DC COMICS"
"464/0226","JUSTICE LEAGUE TRINITY WAR HC (N52) ","our price","16.31","reduced from","£22.50",,"DC COMICS"
"464/0227","CONSTANTINE TP VOL 01 SPARK AND THE FLAME (N52) ","our price","7.97","reduced from","£10.99",,"DC COMICS"
"464/0228","DIAL H TP VOL 02 EXCHANGE (N52) ","our price","9.42","reduced from","£12.99",,"DC COMICS"
"464/0229","FLASH TP VOL 02 ROGUES REVOLUTION (N52) (RES) ","our price","9.42","reduced from","£12.99",,"DC COMICS"
"464/0230","DC UNIVERSE PRESENTS TP VOL 03 BLACK LIGHT","our price","7.97","reduced from","£10.99",,"DC COMICS"
"464/0231","DEATHSTROKE TP VOL 02 LOBO HUNT (N52) (RES) ","our price","10.87","reduced from","£14.99",,"DC COMICS"
"464/0232","LEGION OF SUPERHEROES TP VOL 03 FATAL FIVE (N52) ","our price","9.42","reduced from","£12.99",,"DC COMICS"
"464/0233","RAVAGERS TP VOL 02 HEAVENLY DESTRUCTION (N52) ","our price","7.97","reduced from","£10.99",,"DC COMICS"
"464/0234","WONDER WOMAN HC VOL 04 WAR (N52) ","our price","12.32","reduced from","£16.99",,"DC COMICS"
"464/0235","SUPERGIRL TP VOL 03 SANCTUARY (N52) ","our price","9.42","reduced from","£12.99",,"DC COMICS"
"464/0236","THRESHOLD TP VOL 01 THE HUNTED (N52) ","our price","10.87","reduced from","£14.99",,"DC COMICS"
"464/0237","BATMAN DARK VICTORY TP NEW ED ","our price","13.77","reduced from","£18.99",,"DC COMICS"
"464/0238","BATMAN BY D. MOENCH AND K.JONES HC VOL 01 ","our price","21.74","reduced from","£29.99",,"DC COMICS"
"464/0239","DEATHBLOW DELUXE EDITION HC ","our price","13.77","reduced from","£18.99",,"DC COMICS"
"464/0240","HAWKWORLD TP NEW ED ","our price","7.97","reduced from","£10.99",,"DC COMICS"
"464/0241","JUSTICE LEAGUE OF AMERICA OMNIBUS HC VOL 01 ","our price","54.38","reduced from","£75.00",,"DC COMICS"
"464/0242","JLA TP VOL 04 ","our price","13.77","reduced from","£18.99",,"DC COMICS"
"464/0243","LEGION OF SUPERHEROES G.DARKNESS SAGA TP ","our price","13.77","reduced from","£18.99",,"DC COMICS"
"464/0244","MASTERS OF THE UNIVERSE TP VOL 02 ORIGINS","our price","7.97","reduced from","£10.99",,"DC COMICS"
"464/0245","MAIAN MANHUNTER SON OF MARS TP ","our price","10.87","reduced from","£14.99",,"DC COMICS"
"464/0246","SHOWCASE PRESENTS MEN OF WAR TP ","our price","10.87","reduced from","£14.99",,"DC COMICS"
"464/0247","POWER GIRL POWER TRIP TP ","our price","16.31","reduced from","£22.50",,"DC COMICS"
"464/0248","SUPERMAN M.O.T.ARCHIVES HC VOL 03 (RES) ","our price","40.59","reduced from","£55.99",,"DC COMICS"
"464/0249","DIAL H TP VOL 01 INTO YOU (N52)  ",,"8.99",,,,"DC COMICS"
"464/0250","RAVAGERS TP VOL 01KIDS FROM NOWHERE (N52)  ",,"10.75",,,,"DC COMICS"
"464/0251","BATMAN THE LONG HALLOWEEN TP NEW ED  ",,"15.25",,,,"DC COMICS"
"464/0252","POWER GIRL BOMB SQUAD TP  ",,"8.99",,,,"DC COMICS"
"464/0253","SHOWCASE PRESENTS ENEMY ACE TP VOL 01  ",,"10.75",,,,"DC COMICS"
"464/0254","BATMAN LIL GOTHAM #10",,"1.99",,,,"DC COMICS"
"464/0255","BATMAN LIL GOTHAM TP VOL 01 ",,"8.25",,,,"DC COMICS"
"464/0256","BEWARE THE BATMAN #4",,"1.99",,,,"DC COMICS"
"464/0257","MAD PRESENTS SPY VS SPY FIGHT TO FINISH TP ",,"6.25",,,,"DC COMICS"
"464/0258","SCOOBY DOO WHERE ARE YOU #41",,"1.99",,,,"DC COMICS"
"464/0259","SCOOBY DOO TEAM UP #2",,"1.99",,,,"DC COMICS"
"464/0260","UNWRITTEN VOL 2 APOCALYPSE #1",,"2.65",,,,"DC VERTIGO"
"464/0261","UNWRITTEN VOL 2 APOCALYPSE #1 VAR 1-13 ED",,"3.99",,,,"DC VERTIGO"
"464/0262","SANDMAN OVERTURE #2 SPECIAL EDITION ",,"3.99",,,,"DC VERTIGO"
"464/0263","AMERICAN VAMPIRE HC VOL 06  ","our price","12.32","reduced from","£16.99",,"DC VERTIGO"
"464/0264","DEAD BOY DETECTIVES #2 ",,"1.99",,,,"DC VERTIGO"
"464/0265","ASTRO CITY #8",,"2.65",,,,"DC VERTIGO"
"464/0266","COFFIN HILL #4 ",,"1.99",,,,"DC VERTIGO"
